date wind precip sunshine clouds pressure temperature
2024-04-15 3.9 2.5 2.5 7.2 994.6 10.2
2024-04-16 5.2 2.6 2.1 7.3 989.1 6.9
2024-04-17 2.6 0.5 5.7 7 996.4 6.7
2024-04-18 3.4 0 8.6 4.9 1002.7 6.8
2024-04-19 4.3 10.7 1 7.7 993.4 6.2
2024-04-20 4.4 0 5 7.3 1002.3 6.4
2024-04-21 4.2 0 7.1 5.8 1010.9 4.8
2024-04-22 2.7 0 5.8 5.7 1012.1 2.8
2024-04-23 2.8 0 9 4.5 1006.4 5
2024-04-24 3.1 0 0.4 7.7 995.2 6.5
2024-04-25 3.3 1.7 3.2 7.1 993 5.2
2024-04-26 4.1 0 8.3 6.7 995.4 9.6
2024-04-27 3.4 0 11.8 2.9 999.1 14.1
2024-04-28 4.6 0 9.9 6.7 1001.3 17.2
2024-04-29 2.9 0 7.1 7.8 1010.3 16.4
2024-04-30 4.2 0 13.2 2.8 1005.9 19.7
2024-05-01 5.2 0 12.9 4.1 998.9 20.2
2024-05-02 5.2 0 10.1 3 993.1 20
2024-05-03 3.9 1.5 7.6 4.2 997.8 17.8
2024-05-04 2.7 0 10.7 6.2 1003.4 15.7
2024-05-05 4.5 0 5.6 5.6 997 15.5
2024-05-06 3.3 0 12.8 6.8 997.9 13.7
2024-05-07 3 0 1.2 7.8 1006.4 11.3
2024-05-08 2.9 0 11.6 5.5 1013.3 12.9
2024-05-09 2.4 0 13.3 5.9 1014.1 14.1
2024-05-10 1.8 0 8.4 5.8 1011.5 17.1
2024-05-11 3.1 0 6 5.5 1011.3 15.3
2024-05-12 4.4 0 15 0.3 1010.1 15.5
2024-05-13 4.7 0 15.2 0.4 1005.3 17.3
2024-05-14 4.8 0 15 0 1001.7 18.6
2024-05-15 5.7 0 15 0.5 1000.3 20.1
2024-05-16 5.3 0 9 5.4 998.9 20
2024-05-17 5.4 0 11.7 5.1 998.5 19.5
2024-05-18 3.1 0 3.4 6.6 998.8 16.1
2024-05-19 2.1 3.4 5 7.1 998.1 15.8
2024-05-20 2.5 4.8 7.9 5.2 1000 16.3
2024-05-21 5.1 0 10.7 6.1 998.4 20.5
2024-05-22 4.3 23.8 2.6 7.8 995.8 19.5
2024-05-23 4.1 0 10.2 6.3 1002.6 18.5
2024-05-24 3.9 23.1 9.9 6.6 1006.4 18.8
2024-05-25 2 4.9 5.8 7 1005.9 18.4
2024-05-26 2.7 0.2 12.7 5.3 1006.4 19.4
2024-05-27 2.9 1.8 5.8 7.7 1005 20
2024-05-28 3.1 3.4 3.6 6.7 1005 16
2024-05-29 4.3 0.8 5.1 6.7 1001.1 16.6
2024-05-30 2.4 7.8 2.3 6.2 994.1 15.9
2024-05-31 2.5 0 6.1 7.3 996 17.6
2024-06-01 3.5 0.1 8.8 5 998.8 20.6
2024-06-02 5.2 0.4 7.9 5.8 1003.4 18.9
2024-06-03 4.5 0 0.2 7.9 1005.2 14.1
2024-06-04 2.7 0 3.5 6 1002.3 16.2
2024-06-05 4.4 3.9 1.6 6.7 999.4 16.1
2024-06-06 3 2 10.4 5.5 1005.1 15.4
2024-06-07 2.8 0 11.3 4.3 1005.6 15.8
2024-06-08 4.2 0 12.3 3.4 999.3 18.9
2024-06-09 4 0 14.3 1.8 996.8 15.9
2024-06-10 3 2.1 5.8 5.7 994.8 14.4
2024-06-11 6.5 0 4.8 6 998.8 13
2024-06-12 4.1 1 9.3 3.7 1005.1 12.8
