Date	APPLE	AMAZON	FORD	GOOGLE	MICROSOFT	VOLKSWAGEN
2008-02-04	4.007886	3.6975	4.363259	12.339499	22.163181	NA
2008-02-05	3.938172	3.6045	4.199965	12.622687	21.340963	NA
2008-02-06	3.714107	3.4245	4.121584	12.495912	20.937191	NA
2008-02-07	3.690969	3.5455	4.030138	12.57661	20.643545	NA
2008-02-08	3.82005	3.675	3.971352	12.869014	20.966557	NA
2008-02-11	3.94091	3.7595	4.173837	12.980346	20.70961	NA
2008-02-12	3.801175	3.7225	4.21956	12.903883	20.805046	NA
2008-02-13	3.939389	3.8865	4.297941	13.31559	21.260202	NA
2008-02-14	3.880329	3.79	4.21956	13.256561	20.922506	NA
2008-02-15	3.794172	3.648	4.213027	13.191555	20.863777	NA
2008-02-19	3.719586	3.604	4.232625	12.676236	20.760599	NA
2008-02-20	3.769513	3.682	4.186902	12.677482	20.797443	NA
2008-02-21	3.700101	3.495	4.069328	12.524555	20.709009	NA
2008-02-22	3.63678	3.604	4.082391	12.647594	20.39949	NA
2008-02-25	3.645306	3.6635	4.21956	12.115588	20.517395	NA
2008-02-26	3.627343	3.5845	4.258751	11.561415	20.915365	NA
2008-02-27	3.743331	3.5435	4.311005	11.777356	20.826937	NA
2008-02-28	3.954914	3.3925	4.324069	11.840369	20.583725	NA
2008-02-29	3.806046	3.2235	4.265284	11.735512	20.045744	NA
2008-03-03	3.705886	3.1215	4.036668	11.382834	19.890976	NA
2008-03-04	3.793868	3.267	4.00401	11.073494	20.33316	NA
2008-03-05	3.789911	3.2495	3.997479	11.150704	20.723745	NA
2008-03-06	3.681532	3.137	3.879905	10.777105	20.318415	NA
2008-03-07	3.721717	3.2045	3.775397	10.793294	20.539518	NA
2008-03-10	3.643782	3.1735	3.657822	10.301886	20.672161	NA
2008-03-11	3.876978	3.3575	3.853779	10.954938	21.578642	NA
2008-03-12	3.836793	3.3255	3.723142	10.963406	21.099609	NA
2008-03-13	3.89494	3.416	3.520655	11.033892	21.092245	NA
2008-03-14	3.854451	3.411	3.455337	10.907117	20.605841	NA
2008-03-17	3.858103	3.3265	3.337763	10.457553	20.856407	NA
2008-03-18	4.043504	3.585	3.455337	10.938002	21.681822	NA
2008-03-19	3.947608	3.5085	3.559845	10.75967	21.092245	NA
2008-03-20	4.057204	3.6595	3.670887	10.798275	21.504942	NA
2008-03-24	4.247781	3.7975	3.892968	11.471004	21.49758	NA
2008-03-25	4.291924	3.7585	3.919095	11.227417	21.475468	NA
2008-03-26	4.416133	3.69	3.834183	11.411975	21.048019	NA
2008-03-27	4.269702	3.54	3.808054	11.060542	20.672161	NA
2008-03-28	4.353724	3.488	3.651291	10.911103	20.568987	NA
2008-03-31	4.368642	3.565	3.736205	10.970629	20.915365	NA
2008-04-01	4.552215	3.835	3.899501	11.599273	21.740776	NA
2008-04-02	4.490111	3.8685	4.00401	11.599024	21.490206	NA
2008-04-03	4.615537	3.747	4.21956	11.335512	21.372288	NA
2008-04-04	4.66029	3.8435	4.239157	11.733271	21.490206	NA
2008-04-07	4.745837	3.845	4.39592	11.875986	21.490206	NA
